what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388743472583
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388743474298
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388743519523
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388743523429
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388743596482
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388743599546
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388743646389
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388743650340
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388743883568
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1388743885652
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1388743888662
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388743895196
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1388743906556
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1388743918742
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388743921442
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388743925872
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388743936061
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388743942492
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388743944170
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1388743945590
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388743956513
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388744151948
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1388744155959
started,bundle,org.eclipse.wst.html.core,1.1.502.v201202091936,"org.eclipse.wst.html.core",1388744179708
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388744191466
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388744433039
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388744449022
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388744457229
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388744463441
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388744474128
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388744526095
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1388744527623
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388744536719
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388744611528
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388744623277
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1388744641267
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1388744646481
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1388744655777
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1388744662043
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388744849529
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1388744851422
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1388744851776
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1388744852236
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1388744852619
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1388744857781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388744859381
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388744859659
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1388744862531
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388744864118
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388744864410
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1388744903230
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1388744911274
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1388744914508
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1388744939540
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388744941842
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388744942148
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1388744946541
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388744946959
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1388744949154
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1388744951751
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1388744952033
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1388744952244
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1388744952418
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1388744952629
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1388744952801
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388744970365
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388744979215
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1388744981097
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388744996174
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388744999013
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1388745020209
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1388745027872
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388745028780
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388745081177
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388745082271
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1388745099881
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388745108882
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388745110353
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1388745115885
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1388745134199
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1388745135342
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1388745140174
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388745151257
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1388745160549
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1388745167645
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1388745167789
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1388745167999
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1388745168277
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1388745178249
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388745196798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388745215328
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1388745220096
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388745228114
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388745236628
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1388745240691
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1388745250558
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1388745253642
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1388745253786
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1388745254066
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1388745293807
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1388745297399
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1388745299787
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388745360931
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1388745363439
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1388745376248
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388745377412
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1388745387845
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1388745388197
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1388745405747
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1388745424035
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388745427658
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388745429450
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1388745436560
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1388745436734
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1388745436913
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1388745437086
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1388745437264
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1388745437440
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1388745437614
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1388745437931
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1388745462522
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1388745464853
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1388745475577
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388745511597
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1388745516134
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388745519486
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1388745520999
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388745561024
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388745777864
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1388745785451
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388745787497
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388745792374
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1388745821676
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388745834426
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388745836833
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1388745843556
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388745844355
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1388745844992
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1388745846093
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1388745847589
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1388745847730
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1388745847902
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1388745848081
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1388745863610
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1388745904434
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1388745917589
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1388745924421
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1388745953157
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1388745972953
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1388746022169
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1388746028124
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1388746028298
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1388746028440
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1388746028576
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1388746028719
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1388746028861
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1388746029036
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1388746029177
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1388746029351
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1388746029562
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1388746029914
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388746031287
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1388746032017
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1388746032965
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1388746050871
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388746053243
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388746054879
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1388746059202
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388746062157
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388746062523
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1388746065603
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388746069529
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388746070809
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1388746077556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388746089527
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388746089826
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388746113354
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388746374468
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1388746386371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388746390337
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388746392262
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1388746397607
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1388746404562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388746406265
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388746406537
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1388746428628
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388746432618
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388746436770
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1388746439259
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388746440585
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388746442365
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1388746452212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388746454129
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388746454474
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388746616275
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388746659723
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388746699129
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1388746826156
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1388746856311
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388746901087
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388746992662
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1388746996114
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1388747011786
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1388747019122
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1388747023189
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388747058128
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388747058474
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388747416185
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388747422210
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1388747445671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388747447385
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388747460584
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1388747482250
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1388747482511
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.open.editor",1388747482566
